company_idx,tau_0.01,tau_0.02,tau_0.03,tau_0.05,tau_0.075,tau_0.1,tau_0.125,tau_0.15,tau_0.2,tau_0.25,tau_0.3,tau_0.375,tau_0.45,tau_0.55,tau_0.65,tau_0.75,tau_0.85,tau_1
1692,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,26841995.0,26841995.0,26841995.0,26841995.0,28441995.0,30741995.0,60741995.0
1693,0.0,0.0,0.0,0.0,1500000.0,1500000.0,1500000.0,1500000.0,1500000.0,4100000.0,4100000.0,6700000.0,6700000.0,13000000.0,13000000.0,13000000.0,13000000.0,13000000.0
1694,250000.0,250000.0,250000.0,250000.0,250000.0,250000.0,250000.0,250000.0,1000000.0,1000000.0,1000000.0,3000000.0,3000000.0,3000000.0,9000000.0,9000000.0,9000000.0,9000000.0
1695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1696,2870231.0,2870231.0,2870231.0,2870231.0,2870231.0,2870231.0,2870231.0,2870231.0,2870231.0,2870231.0,2870231.0,3370231.0,3370231.0,3370231.0,3370231.0,3370231.0,3370231.0,3370231.0
1697,20000000.0,20000000.0,20000000.0,20000000.0,20000000.0,20000000.0,20000000.0,20000000.0,20000000.0,32750000.0,32750000.0,32750000.0,32750000.0,32750000.0,32750000.0,62750000.0,62750000.0,62750000.0
1698,39748312.0,39748312.0,39748312.0,39748312.0,39748312.0,39748312.0,39748312.0,39748312.0,39748312.0,39748312.0,39748312.0,39748312.0,39748312.0,39748312.0,39748312.0,39748312.0,39748312.0,257944298.0
1699,18000.0,18000.0,18000.0,218000.0,218000.0,218000.0,218000.0,218000.0,218000.0,218000.0,218000.0,218000.0,218000.0,218000.0,218000.0,218000.0,218000.0,218000.0
1700,2500000.0,2500000.0,2500000.0,2500000.0,2500000.0,2500000.0,2500000.0,2500000.0,2500000.0,2500000.0,14500000.0,14500000.0,14500000.0,14620000.0,14620000.0,14620000.0,29620000.0,29620000.0
1701,1575630.0,1575630.0,1575630.0,1575630.0,1575630.0,1575630.0,1575630.0,1575630.0,1575630.0,1575630.0,1575630.0,1575630.0,1575630.0,3575631.0,3575631.0,3575631.0,3575631.0,5675631.0
